Sum of the Beijing and Shanghai ETS Caps","Cap (previous year) - Cap (current year)
Cap = sum of Beijing and Shanghai caps","Max(5x trailing 6mo average price + USD 7,058) for Beijing,
(1x allowance price + USD 14,116) for Shanghai)",Names of the CCP Chairman between the dates they served,Assigned as 0.5 as the CCP is considered a centrist party,Backfilled from annual reported to daily frequency,Backfilled from quarterly reported to daily frequency,"The values from WBOpen Dat and Statista (for 2023, and quarterly) have been considered ahead of the value computed as GDP/Population, because only work force is considered in GDP per capita estimate",Backfilled from annual reported values,"1 if GDP decreases for three consecutive prior quarters, 0 otherwise",If there was any other prevailing carbon taxes in China during the period of the permit regulation,"Beijing’s air quality is typically the most reported climate hazard in China (as air quality is linked to extreme temperatures), and is hence used as a proxy for extreme climate events.  ",Backfilled from available values,Backfilled from available values
Date,Allowance price,Beijing ETS Allowance price,Shanghai ETS Allowance price,Compliance Period Identifier Bejijing,Compliance Period Identifier Shanghai,Compliance Period Identifier,Compliance Period Identifier (Encoded),Market Stability Action,Number of new free allowances Introduced,Number of new auctioned allowances,Weighted average sectoral abatement difficulty,Traded Volume,Cap Beijing,Cap Shanghai,Cap,Annual Cap Reduction,Penalty for Non-Compliance,Regime name,Regime type,Population,GDP,GDP/Capita,Inflation,Recession Indicator,Other Carbon tax,Beijing Air Quality Index,Average Global Temperature Anomaly in Celsius,Cumulative VCM market surplus by sector (Issuance minus retirement) tCO2e
2019-03-20,3.07,10.12,6.15,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-21,3.07,10.12,6.15,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-22,8.05,10.06,6.03,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-23,8.05,10.06,6.03,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-24,8.05,10.06,6.03,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-25,2.72,10.06,5.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-26,2.98,10.06,5.96,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-27,2.98,10.06,5.96,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-28,8.15,10.32,5.98,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-29,8.25,10.40,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-30,8.25,10.40,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-03-31,8.25,10.40,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.15,119.50
2019-04-01,8.25,10.40,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-02,5.23,10.46,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-03,2.73,10.46,5.47,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-04,8.39,10.87,5.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-05,8.39,10.87,5.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-06,8.39,10.87,5.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-07,8.39,10.87,5.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-08,8.58,11.08,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-09,8.58,11.08,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-10,5.52,11.03,6.09,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-11,8.34,11.02,5.66,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-12,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-13,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-14,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-15,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-16,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-17,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-18,2.77,11.02,5.54,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-19,8.43,10.78,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-20,8.43,10.78,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-21,8.43,10.78,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-22,8.52,10.97,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-23,5.49,10.98,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-24,8.81,11.54,6.07,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-25,8.23,10.99,5.47,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-26,8.05,11.17,4.92,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-27,8.05,11.17,4.92,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-28,8.05,11.17,4.92,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-29,8.24,11.07,5.41,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-04-30,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,1.05,121.13
2019-05-01,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,121.13
2019-05-02,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-03,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-04,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-05,8.53,11.25,5.80,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-06,2.77,11.25,5.53,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-07,2.95,11.25,5.89,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-08,8.41,10.97,5.84,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-09,8.35,10.98,5.72,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-10,8.44,11.03,5.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-11,8.44,11.03,5.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-12,8.44,11.03,5.86,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-13,8.51,11.22,5.81,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-14,8.57,11.34,5.81,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-15,7.26,9.10,5.43,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-16,7.97,10.11,5.83,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-17,8.28,10.72,5.83,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-18,8.28,10.72,5.83,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-19,8.28,10.72,5.83,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-20,8.64,11.23,6.06,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-21,9.10,12.21,5.98,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-22,5.97,11.94,5.98,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-23,2.96,11.94,5.91,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-24,8.97,12.01,5.94,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-25,8.97,12.01,5.94,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-26,8.97,12.01,5.94,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-27,2.91,12.01,5.82,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-28,2.92,12.01,5.83,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-29,2.94,12.01,5.89,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-30,8.96,12.00,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-05-31,4.80,9.59,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.91,124.29
2019-06-01,4.80,9.59,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-02,4.80,9.59,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-03,5.20,10.41,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-04,5.60,11.21,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-05,5.61,11.21,5.93,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-06,8.46,11.30,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-07,8.46,11.30,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-08,8.46,11.30,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-09,8.46,11.30,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-10,5.87,11.74,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-11,8.69,11.75,5.62,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-12,8.76,11.87,5.66,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-13,8.76,11.86,5.65,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
2019-06-14,9.18,12.65,5.70,2019,Phase Two,2019 | Phase Two,2,0,"199,810,000","7,190,000",4.21,"5,670,000","49,000,000","158,000,000","207,000,000","3,000,000","14,121",Xi Jinping,0.5,"1,410,000,000","14,279,968,506,242","10,143",2.90,0,6,42.60,0.92,124.70
